facilityid,name,city,county,state,zip,capacity,type,securelvl,status,flood_risk_rating,flood_risk,confidence,latitude,longitude
10004159,Forsyth Correctional Center,Winston-Salem,Forsyth,NC,27105,248,State,Minimum,Open,1,Minimal,Medium,36.1444240138607,-80.2619429865209
10004157,Franklin Correctional Center,Bunn,Franklin,NC,27508,452,State,Medium,Open,1,Minimal,High,35.9449529908341,-78.2497060290769
10001775,Greene Correctional Institution,Maury,Greene,NC,28554,616,State,Minimum,Open,8,Severe,Medium,35.4795818220921,-77.5939162789231
10001025,Harnett Correctional Institution,Lillington,Harnett,NC,27546,988,State,Medium,Open,1,Minimal,High,35.3892649968105,-78.8004350377249
10004193,Hyde Correctional Institution,Fairfield,Hyde,NC,27826,736,State,Medium,Open,6,Major,High,35.4942179915934,-76.3342570030756
10004197,Lincoln Correctional Center,Lincolnton,Lincoln,NC,28092,202,State,Minimum,Open,1,Minimal,High,35.4836305169404,-81.2360836556554
10001027,Lumberton Correctional Institution,Lumberton,Robeson,NC,28359,768,State,Medium,Open,1,Minimal,High,34.5871449842058,-79.0527370288282
10001770,Marion Correctional Institution,Marion,Mcdowell,NC,28752,793,State,Close,Open,1,Minimal,High,35.6401289886051,-81.9460590285929
10001754,Mountain View Correctional Institution,Spruce Pine,Avery,NC,28777,884,State,Medium,Open,1,Minimal,High,35.9316750084663,-82.0036009615304
10001782,Neuse Correctional Institution,Goldsboro,Wayne,NC,27533,788,State,Minimum,Open,1,Not Available,Low,35.3867699976018,-78.0382379880353
10004184,Piedmont Correctional Institution - Minimum Security Unit,Salisbury,Rowan,NC,28147,276,State,Minimum,Open,1,Minimal,High,35.6200449846778,-80.532813994462
10001771,Randolph Correctional Center,Asheboro,Randolph,NC,27203,226,State,Minimum,Open,1,Minimal,High,35.6687323010313,-79.8221381290296
10001778,Rutherford Correctional Center,Spindale,Rutherford,NC,28160,236,State,Minimum,Open,1,Minimal,Medium-High,35.3657559796077,-81.9150169854588
10001784,Southern Correctional Institution,Troy,Montgomery,NC,27371,624,State,Close,Open,1,Minimal,Medium-High,35.3825469852344,-79.8746090381754
10001799,Tabor Correctional Institution,Tabor City,Columbus,NC,28463,1752,State,Close,Open,7,Severe,Medium-High,34.1876649876068,-78.9119249949753
10004148,Rockingham County Detention Center -Old,Wentworth,Rockingham,NC,27375,90,County,Not Available,Closed,1,Minimal,High,36.3983285135471,-79.7707977580026
10006124,Swain County Jail,Bryson City,Swain,NC,28713,NA,County,Not Available,Closed,10,Extreme,Medium-High,35.4276082305941,-83.4451610045319
10006583,Cabarrus Regional Juvenile Detention Center,Concord,Cabarrus,NC,28027,30,State,Juvenile,Open,1,Minimal,Medium,35.3624999874097,-80.6028449631309
10004160,Forsyth County Law Enforcement Detention Center,Winston-Salem,Forsyth,NC,27101,1016,County,Maximum,Open,1,Minimal,High,36.0971010039081,-80.2423429955926
10001786,Albemarle Correctional Institution,New London,Stanly,NC,28127,816,State,Medium,Open,1,Minimal,High,35.4161380070337,-80.1373309922113
10006147,Avery-Mitchell Correctional Institution,Spruce Pine,Avery,NC,28777,816,State,Medium,Open,1,Minimal,High,35.9259679801417,-81.9997789813205
10004170,Caldwell Correctional Center,Lenoir,Caldwell,NC,28645,238,State,Minimum,Open,1,Minimal,High,35.8547500082547,-81.5207669611651
10002633,Caledonia Correctional Institution,Tillery,Halifax,NC,27882,1038,State,Medium,Open,1,Not Available,Low,36.3063414019835,-77.4575556529032
10001766,Central Prison,Raleigh,Wake,NC,27606,752,State,Close,Open,4,Moderate,High,35.7768069839928,-78.6561209609062
10001798,Columbus Correctional Institution,Whiteville,Columbus,NC,28472,698,State,Medium,Open,1,Minimal,High,34.2794490066727,-78.7203089886905
10004194,Eastern Correctional Institution,Maury,Greene,NC,28554,429,State,Medium,Open,8,Severe,High,35.4801522530495,-77.5928499612948
10001769,Foothills Correctional Institution,Morganton,Burke,NC,28655,858,State,Close,Open,1,Minimal,High,35.6755760152245,-81.6804640096056
10004210,Gaston Correctional Center,Dallas,Gaston,NC,28034,242,State,Minimum,Open,1,Minimal,Medium,35.3123850074189,-81.1949389992258
10001797,Hoke Correctional Institution,Raeford,Hoke,NC,28376,502,State,Minimum,Open,1,Minimal,High,35.0581879937361,-79.3468870126395
10004190,Johnston Correctional Institution,Smithfield,Johnston,NC,27577,612,State,Minimum,Open,1,Minimal,High,35.5575280150201,-78.328282012757
10004192,Haywood County Detention Center,Waynesville,Haywood,NC,28786,150,County,Not Available,Open,9,Extreme,High,35.471449012622,-83.0056829671402
10001796,Bladen County Jail,Elizabethtown,Bladen,NC,28337,79,County,Not Available,Open,1,Minimal,High,34.6154909881835,-78.6069659602861
10004201,Mecklenburg County Jail Central,Charlotte,Mecklenburg,NC,28202,1904,County,Maximum,Open,1,Minimal,High,35.2205019980764,-80.8362170126458
